"family","description"
"PF10412","Type IV secretion-system coupling protein DNA-binding domain"
"PF10414","Sirohaem synthase dimerisation region"
"PF10415","Fumarase C C-terminus"
"PF10417","C-terminal domain of 1-Cys peroxiredoxin"
"PF10419","TFIIIC subunit"
"PF10421","2'-5'-oligoadenylate synthetase 1, domain 2, C-terminus"
"PF10422","Monopolin complex subunit LRS4"
"PF10426","Recombination-activating protein 1 zinc-finger domain"
"PF10428","RAM signalling pathway protein"
"PF10429","Nuclear pore RNA shuttling protein Mtr2"
"PF10431","C-terminal, D2-small domain, of ClpB protein"
"PF10432","Bacterial phospho-glucose isomerase C-terminal region"
"PF10433","Mono-functional DNA-alkylating methyl methanesulfonate N-term"
"PF10434","Monopolin complex protein MAM1"
"PF10435","Beta-galactosidase, domain 2"
"PF10436","Mitochondrial branched-chain alpha-ketoacid dehydrogenase kinase"
"PF10437","Bacterial lipoate protein ligase C-terminus"
"PF10441","Urb2/Npa2 family"
"PF10443","RNA12 protein"
"PF10444","Nbl1 / Borealin N terminal"
"PF10445","Protein of unknown function (DUF2456)"
"PF10446","Protein of unknown function (DUF2457)"
"PF10447","Exosome component EXOSC1/CSL4"
"PF10448","20S proteasome chaperone"
"PF10450","POC1 chaperone"
"PF10451","Telomere regulation protein Stn1"
"PF10452","TORC1 subunit TCO89"
"PF10453","Nuclear fragile X mental retardation-interacting protein 1 (NUFIP1)"
"PF10454","Protein of unknown function (DUF2458)"
"PF10455","Bin/amphiphysin/Rvs domain for vesicular trafficking"
"PF10456","WASP-binding domain of Sorting nexin protein"
"PF10457","Cholesterol-capturing domain"
"PF10458","Valyl tRNA synthetase tRNA binding arm"
"PF10462","Peptidase M66"
"PF10466","Saccharopepsin inhibitor I34"
"PF10467","Peptidase inhibitor clitocypin"
"PF10469","AKAP7 2'5' RNA ligase-like domain"
"PF10471","Anaphase-promoting complex APC subunit 1"
"PF10473","Leucine-rich repeats of kinetochore protein Cenp-F/LEK1"
"PF10474","Protein of unknown function C-terminus (DUF2451)"
"PF10475","Protein of unknown function N-terminal domain (DUF2450)"
"PF10479","Fragile site-associated protein C-terminus"
"PF10481","Cenp-F N-terminal domain"
"PF10482","Tumour-suppressor protein CtIP N-terminal domain"
"PF10483","Elongator subunit Iki1"
"PF10486","Phosphoinositide 3-kinase gamma adapter protein p101 subunit"
"PF10487","Nucleoporin subcomplex protein binding to Pom34"
"PF10493","Rough deal protein C-terminal region"
"PF10494","Serine-threonine protein kinase 19"
"PF10495","Pericentrin-AKAP-450 domain of centrosomal targeting protein"
"PF10496","SNARE-complex protein Syntaxin-18 N-terminus"
"PF10497","Zinc-finger domain of monoamine-oxidase A repressor R1"
"PF10498","Intra-flagellar transport protein 57"
"PF10500","Nuclear RNA-splicing-associated protein"
"PF10501","Ribosomal subunit 39S"
"PF10502","Signal peptidase, peptidase S26"
"PF10503","Esterase PHB depolymerase"
"PF10505","NMDA receptor-regulated gene protein 2 C-terminus"
"PF10506","PDZ domain of MCC-2 bdg protein for Usher syndrome"
"PF10508","Proteasome non-ATPase 26S subunit"
"PF10509","Galactokinase galactose-binding signature"
"PF10510","Phosphatidylinositol-glycan biosynthesis class S protein"
"PF10513","Enhancer of polycomb-like"
"PF10516","SHNi-TPR"
"PF10517","Electron transfer DM13"
"PF10520","Kua-ubiquitin conjugating enzyme hybrid localisation domain"
"PF10521","Protein of unknown function (DUF2454)"
"PF10528","GLEYA domain"
"PF10529","Histidine-rich Calcium-binding repeat region"
"PF10531","SLBB domain"
"PF10536","Plant mobile domain"
"PF10537","ATP-utilising chromatin assembly and remodelling N-terminal"
"PF10540","Munc13 (mammalian uncoordinated) homology domain"
"PF10544","T5orf172 domain"
"PF10545","Alcohol dehydrogenase transcription factor Myb/SANT-like"
"PF10546","P63C domain"
"PF10551","MULE transposase domain"
"PF10557","Cullin protein neddylation domain"
"PF10558","Mitochondrial 18 KDa protein (MTP18)"
"PF10559","Plug domain of Sec61p"
"PF10566","Glycoside hydrolase 97"
"PF10567","RNA-recognition motif"
"PF10568","Outer mitochondrial membrane transport complex protein"
"PF10569","Alpha-macro-globulin thiol-ester bond-forming region"
"PF10576","Iron-sulfur binding domain of endonuclease III"
"PF10577","Uncharacterised protein family UPF0560"
"PF10584","Proteasome subunit A N-terminal signature"
"PF10585","Ubiquitin-activating enzyme active site"
"PF10587","Eukaryotic elongation factor 1 beta central acidic region"
"PF10588","NADH-ubiquinone oxidoreductase-G iron-sulfur binding region"
"PF10589","NADH-ubiquinone oxidoreductase-F iron-sulfur binding region"
"PF10590","Pyridoxine 5'-phosphate oxidase C-terminal dimerisation region"
"PF10591","Secreted protein acidic and rich in cysteine Ca binding region"
"PF10592","AIPR protein"
"PF10595","Uncharacterised protein family UPF0564"
"PF10596","U6-snRNA interacting domain of PrP8"
"PF10597","U5-snRNA binding site 2 of PrP8"
"PF10598","RNA recognition motif of the spliceosomal PrP8"
"PF10599","Retro-transposon transporting motif"
"PF10601","LITAF-like zinc ribbon domain"
"PF10602","26S proteasome subunit RPN7"
"PF10604","Polyketide cyclase / dehydrase and lipid transport"
"PF10607","CTLH/CRA C-terminal to LisH motif domain"
"PF10609","ParA/MinD ATPase like"
"PF10615","Protein of unknown function (DUF2470)"
"PF10618","Phage tail tube protein"
"PF10629","Protein of unknown function (DUF2475)"
"PF10634","Fe2+ transport protein"
"PF10637","Oxoglutarate and iron-dependent oxygenase degradation C-term"
"PF10638","Spindle body associated protein C-terminus"
"PF10639","Uncharacterised protein family UPF0546"
"PF10642","Mitochondrial import receptor subunit or translocase"
"PF10644","Misato Segment II tubulin-like domain"
"PF10645","Carbohydrate binding"
"PF10647","Lipoprotein LpqB beta-propeller domain"
"PF10650","Putative zinc-finger domain"
"PF10652","Protein of unknown function (DUF2480)"
"PF10662","Ethanolamine utilisation - propanediol utilisation"
"PF10669","Protein gp23 (Bacteriophage A118)"
"PF10672","S-adenosylmethionine-dependent methyltransferase"
"PF10680","RNA polymerase I specific transcription initiation factor"
"PF10681","Chaperone for protein-folding within the ER, fungal"
"PF10683","Hermes transposase DNA-binding domain"
"PF10685","Stress-induced bacterial acidophilic repeat motif"
"PF10686","Protein of unknown function (DUF2493)"
"PF10694","Protein of unknown function (DUF2500)"
"PF10696","Protein of unknown function (DUF2501)"
"PF10699","Male gamete fusion factor"
"PF10703","Molybdenum cofactor biosynthesis protein F"
"PF10707","PhoP regulatory network protein YrbL"
"PF10708","Protein of unknown function (DUF2510)"
"PF10712","NAD-specific glutamate dehydrogenase"
"PF10717","Occlusion-derived virus envelope protein ODV-E18"
"PF10734","Protein of unknown function (DUF2523)"
"PF10744","Mediator of RNA polymerase II transcription subunit 1"
"PF10745","Protein of unknown function (DUF2530)"
"PF10754","Protein of unknown function (DUF2569)"
"PF10775","ATP synthase complex subunit h"
"PF10777","Inner membrane protein YlaC"
"PF10780","39S ribosomal protein L53/MRP-L53"
"PF10785","NADH-ubiquinone oxidoreductase complex I, 21 kDa subunit"
"PF10791","Mitochondrial F1-F0 ATP synthase subunit F of fungi"
"PF10800","Protein of unknown function (DUF2528)"
"PF10801","Protein of unknown function (DUF2537)"
"PF10805","Protein of unknown function (DUF2730)"
"PF10806","Protein of unknown function (DUF2731)"
"PF10812","Protein of unknown function (DUF2561)"
"PF10815","ComZ"
"PF10824","Protein of unknown function (DUF2580)"
"PF10825","Protein of unknown function (DUF2752)"
"PF10828","Protein of unknown function (DUF2570)"
"PF10836","Protein of unknown function (DUF2574)"
"PF10843","Protein of unknown function (DUF2578)"
"PF10846","Protein of unknown function (DUF2722)"
"PF10855","Protein of unknown function (DUF2648)"
"PF10856","Protein of unknown function (DUF2678)"
"PF10861","Protein of Unknown function (DUF2784)"
"PF10863","Protein of unknown function (DUF2702)"
"PF10866","Protein of unknown function (DUF2704)"
"PF10868","Protein of unknown function (DUF2667)"
"PF10873","Protein of unknown function (DUF2668)"
"PF10880","Protein of unknown function (DUF2673)"
"PF10891","Protein of unknown function (DUF2719)"
"PF10898","Protein of unknown function (DUF2716)"
"PF10899","Protein of unknown function (DUF2743)"
"PF10901","Protein of unknown function (DUF2690)"
"PF10906","Protein of unknown function (DUF2697)"
"PF10914","Protein of unknown function (DUF2781)"
"PF10923","P-loop Domain of unknown function (DUF2791)"
"PF10926","Protein of unknown function (DUF2800)"
"PF10935","Protein of unknown function (DUF2637)"
"PF10937","Protein of unknown function (DUF2638)"
"PF10946","Protein of unknown function DUF2625"
"PF10948","Protein of unknown function (DUF2635)"
"PF10956","Protein of unknown function (DUF2756)"
"PF10960","Protein of unknown function (DUF2762)"
"PF10961","Protein of unknown function (DUF2763)"
"PF10969","Protein of unknown function (DUF2771)"
"PF10974","Protein of unknown function (DUF2804)"
"PF10979","Protein of unknown function (DUF2786)"
"PF10982","Protein of unknown function (DUF2789)"
"PF10986","Protein of unknown function (DUF2796)"
"PF10988","Protein of unknown function (DUF2807)"
"PF10994","Protein of unknown function (DUF2817)"
"PF10996","Beta-Casp domain"
"PF10997","Protein of unknown function (DUF2837)"
"PF10998","Protein of unknown function (DUF2838)"
"PF11001","Protein of unknown function (DUF2841)"
"PF11008","Protein of unknown function (DUF2846)"
"PF11009","Protein of unknown function (DUF2847)"
"PF11014","Protein of unknown function (DUF2852)"
"PF11017","Protein of unknown function (DUF2855)"
"PF11018","Pupal cuticle protein C1"
"PF11020","Domain of unknown function (DUF2610)"
"PF11021","Protein of unknown function (DUF2613)"
"PF11022","Protein of unknown function (DUF2611)"
"PF11025","Glycoprotein GP40 of Cryptosporidium"
"PF11027","Protein of unknown function (DUF2615)"
"PF11031","Bacteriophage T holin"
"PF11034","Protein of unknown function (DUF2823)"
"PF11035","Small nuclear RNA activating complex subunit 2-like"
"PF11044","Plectrovirus spv1-c74 ORF 12 transmembrane protein"
"PF11051","Mannosyltransferase putative"
"PF11055","Glucose signalling factor 2"
"PF11064","Protein of unknown function (DUF2865)"
"PF11066","Protein of unknown function (DUF2867)"
"PF11069","Protein of unknown function (DUF2870)"
"PF11072","Protein of unknown function (DUF2859)"
"PF11075","Protein of unknown function VcgC/VcgE (DUF2780)"
"PF11080","Protein of unknown function (DUF2622)"
"PF11083","Lantibiotic streptin immunity protein"
"PF11093","Mitochondrial export protein Som1"
"PF11095","Gem-associated protein 7 (Gemin7)"
"PF11103","Protein of unknown function (DUF2887)"
"PF11107","Fanconi anemia group F protein (FANCF)"
"PF11111","Centromere protein M (CENP-M)"
"PF11118","Protein of unknown function (DUF2627)"
"PF11119","Protein of unknown function (DUF2633)"
"PF11120","Protein of unknown function (DUF2636)"
"PF11124","Inorganic phosphate transporter Pho86"
"PF11127","Protein of unknown function (DUF2892)"
"PF11130","F pilus assembly Type-IV secretion system for plasmid transfer"
"PF11145","Protein of unknown function (DUF2921)"
"PF11150","Protein of unknown function (DUF2927)"
"PF11153","Protein of unknown function (DUF2931)"
"PF11157","Protein of unknown function (DUF2937)"
"PF11160","Protein of unknown function (DUF2945)"
"PF11162","Protein of unknown function (DUF2946)"
"PF11168","Protein of unknown function (DUF2955)"
"PF11171","Protein of unknown function (DUF2958)"
"PF11174","Protein of unknown function (DUF2970)"
"PF11175","Protein of unknown function (DUF2961)"
"PF11176","Protein of unknown function (DUF2962)"
"PF11185","Protein of unknown function (DUF2971)"
"PF11187","Protein of unknown function (DUF2974)"
"PF11196","Protein of unknown function (DUF2834)"
"PF11199","Protein of unknown function (DUF2891)"
"PF11200","Protein of unknown function (DUF2981)"
"PF11203","Protein of unknown function (DUF2984)"
"PF11204","Protein of unknown function (DUF2985)"
"PF11207","Protein of unknown function (DUF2989)"
"PF11213","Protein of unknown function (DUF3006)"
"PF11214","Mediator complex subunit 2"
"PF11221","Subunit 21 of Mediator complex"
"PF11223","Protein of unknown function (DUF3020)"
"PF11228","Protein of unknown function (DUF3027)"
"PF11232","Mediator complex subunit 25 PTOV activation and synapsin 2"
"PF11239","Protein of unknown function (DUF3040)"
"PF11249","Protein of unknown function (DUF3047)"
"PF11254","Protein of unknown function (DUF3053)"
"PF11259","Protein of unknown function (DUF3060)"
"PF11262","Transcription factor/nuclear export subunit protein 2"
"PF11264","Thylakoid formation protein"
"PF11265","Mediator complex subunit 25 von Willebrand factor type A"
"PF11268","Protein of unknown function (DUF3071)"
"PF11272","Protein of unknown function (DUF3072)"
"PF11274","Protein of unknown function (DUF3074)"
"PF11275","Protein of unknown function (DUF3077)"
"PF11276","Protein of unknown function (DUF3078)"
"PF11277","Mediator complex subunit 24 N-terminal"
"PF11284","Protein of unknown function (DUF3085)"
"PF11294","Protein of unknown function (DUF3095)"
"PF11299","Protein of unknown function (DUF3100)"
"PF11300","Protein of unknown function (DUF3102)"
"PF11304","Protein of unknown function (DUF3106)"
"PF11305","Protein of unknown function (DUF3107)"
"PF11307","Protein of unknown function (DUF3109)"
"PF11308","Glycosyl hydrolases related to GH101 family, GHL1-GHL3"
"PF11309","Protein of unknown function (DUF3112)"
"PF11312","Protein of unknown function (DUF3115)"
"PF11316","Putative rhamnosyl transferase"
"PF11326","Protein of unknown function (DUF3128)"
"PF11327","Protein of unknown function (DUF3129)"
"PF11329","Protein of unknown function (DUF3131)"
"PF11331","Protein of unknown function (DUF3133)"
"PF11333","Protein of unknown function (DUF3135)"
"PF11338","Protein of unknown function (DUF3140)"
"PF11346","Protein of unknown function (DUF3149)"
"PF11350","Protein of unknown function (DUF3152)"
"PF11354","Protein of unknown function (DUF3156)"
"PF11359","Glycoprotein UL132"
"PF11362","Protein of unknown function (DUF3161)"
"PF11365","Protein of unknown function (DUF3166)"
"PF11367","Protein of unknown function (DUF3168)"
"PF11374","Protein of unknown function (DUF3176)"
"PF11380","Protein of unknown function (DUF3184)"
"PF11387","Protein of unknown function (DUF2795)"
"PF11397","Glycosyltransferase (GlcNAc)"
"PF11401","Tetrabrachion"
"PF11402","Antifungal protein"
"PF11403","Yeast metallothionein"
"PF11408","Sgs1 RecQ helicase"
"PF11410","Antifungal peptide"
"PF11411","DNA ligase IV"
"PF11412","Disulphide bond corrector protein DsbC"
"PF11414","Adenomatous polyposis coli tumour suppressor protein"
"PF11416","Integral membrane protein Sed5p"
"PF11429","Colicin D"
"PF11435","RNA binding protein She2p"
"PF11442","Protein of unknown function (DUF2826)"
"PF11443","Domain of unknown function (DUF2828)"
"PF11459","Protein of unknwon function (DUF2893)"
"PF11461","Rab interacting lysosomal protein"
"PF11464","Rabenosyn Rab binding domain"
"PF11467","Lens epithelium-derived growth factor (LEDGF)"
"PF11468","Aromatic prenyltransferase Orf2"
"PF11470","GLUT4 regulating protein TUG"
"PF11471","Maltoporin periplasmic N-terminal extension"
"PF11473","RNA binding protein B2"
"PF11488","Transcriptional regulatory protein LGE1"
"PF11489","Protein of unknown function (DUF3210)"
"PF11496","Class II histone deacetylase complex subunits 2 and 3"
"PF11498","Transcriptional activator LAG-3"
"PF11500","Spindle pole body formation-associated protein"
"PF11503","Protein of unknown function (DUF3215)"
"PF11510","Fanconi Anaemia group E protein FANCE"
"PF11517","Nuclear abundant poly(A) RNA-bind protein 2 (Nab2)"
"PF11521","C-terminal general transcription factor TFIIE alpha"
"PF11522","Yeast phosphatidylinositol-4-OH kinase Pik1"
"PF11523","Protein of unknown function (DUF3223)"
"PF11526","Subunit of cleavage factor IA Pcf11"
"PF11527","The ARF-like 2 binding protein BART"
"PF11528","Protein of unknown function (DUF3224)"
"PF11529","Melampsora lini avirulence protein AvrL567-A"
"PF11536","Protein of unknown function (DUF3226)"
"PF11538","Snurportin1"
"PF11539","Protein of unknown function (DUF3228)"
"PF11540","Cytoplasmic dynein 1 intermediate chain 2"
"PF11542","Mitochondrial division protein 1"
"PF11543","Nuclear pore localisation protein NPL4"
"PF11544","Spindle pole body component Spc42p"
"PF11549","Protein transport protein SEC31"
"PF11556","Erythrocyte binding antigen 175"
"PF11558","Het-s 218-289"
"PF11559","Afadin- and alpha -actinin-Binding"
"PF11561","Single strand annealing-weakened 1"
"PF11563","Protoglobin"
"PF11566","PI31 proteasome regulator N-terminal"
"PF11569","Homeodomain leucine-zipper encoding, Homez"
"PF11570","Coiled-coil receptor-binding R-domain of colicin E2"
"PF11571","Mediator complex subunit 27"
"PF11573","Mediator complex subunit 23"
"PF11577","NF-kappa-B essential modulator NEMO"
"PF11578","Protein of unknown function (DUF3237)"
"PF11579","Protein of unknown function (DUF3238)"
"PF11580","Protein of unknown function (DUF3239)"
"PF11588","Protein of unknown function (DUF3243)"
"PF11593","Mediator complex subunit 3 fungal"
"PF11595","Protein of unknown function (DUF3245)"
"PF11596","Protein of unknown function (DUF3246)"
"PF11597","Mediator complex subunit 13 N-terminal"
"PF11598","Cartilage oligomeric matrix protein"
"PF11600","Chromatin assembly factor 1 complex p150 subunit, N-terminal"
"PF11603","Regulatory protein Sir1"
"PF11605","Vacuolar protein sorting protein 36 Vps36"
"PF11610","Scaffold protein Ste5-Fus5 binding region"
"PF11611","Domain of unknown function (DUF4352)"
"PF11615","Protein of unknown function (DUF3249)"
"PF11617","Protein metal binding site"
"PF11618","Protein of unknown function (DUF3250)"
"PF11620","GA-binding protein alpha chain"
"PF11624","MHC class I-like protein M157"
"PF11625","Protein of unknown function (DUF3253)"
"PF11626","TRF2-interacting telomeric protein/Rap1 - C terminal domain"
"PF11629","C terminal SARAH domain of Mst1"
"PF11635","Mediator complex subunit 16"
"PF11640","Telomere-length maintenance and DNA damage repair"
"PF11648","C-terminal domain of RIG-I"
"PF11651","P22 coat protein - gene protein 5"
"PF11654","Protein of unknown function (DUF2665)"
"PF11656","YjbD family (DUF3811)"
"PF11657","Transcriptional activator TraM"
"PF11661","Protein of unknown function (DUF2986)"
"PF11666","Protein of unknown function (DUF2933)"
"PF11669","WW domain-binding protein 1"
"PF11678","Protein of unknown function (DUF3274)"
"PF11684","Protein of unknown function (DUF2380)"
"PF11690","Protein of unknown function (DUF3287)"
"PF11693","Protein of unknown function (DUF2990)"
"PF11695","Domain of unknown function (DUF3291)"
"PF11696","Protein of unknown function (DUF3292)"
"PF11697","Protein of unknown function (DUF3293)"
"PF11698","V-ATPase subunit H"
"PF11699","Mif2/CENP-C like"
"PF11700","Vacuole effluxer Atg22 like"
"PF11701","Myosin-binding striated muscle assembly central"
"PF11702","Protein of unknown function (DUF3295)"
"PF11703","UPF0506"
"PF11704","Vesicle coat protein involved in Golgi to plasma membrane transport"
"PF11705","DNA-directed RNA polymerase III subunit Rpc31"
"PF11707","Ribosome 60S biogenesis N-terminal"
"PF11708","Pre-mRNA splicing Prp18-interacting factor"
"PF11709","Mitochondrial ribosomal protein subunit"
"PF11710","G protein-coupled glucose receptor regulating Gpa2"
"PF11711","Inner membrane protein import complex subunit Tim54"
"PF11712","Endoplasmic reticulum-based factor for assembly of V-ATPase"
"PF11713","Peptidase C80 family"
"PF11715","Nucleoporin Nup120/160"
"PF11717","RNA binding activity-knot of a chromodomain"
"PF11718","Pre-mRNA 3'-end-processing endonuclease polyadenylation factor C-term"
"PF11719","DNA replication and checkpoint protein"
"PF11720","Peptidase inhibitor I78 family"
"PF11721","Di-glucose binding within endoplasmic reticulum"
"PF11722","CCCH zinc finger in TRM13 protein"
"PF11726","Protein of unknown function (DUF3296)"
"PF11727","Invariant surface glycoprotein"
"PF11728","DUF939 C-terminal domain"
"PF11731","Pathogenicity locus"
"PF11732","Transcription- and export-related complex subunit"
"PF11735","Cryptococcal mannosyltransferase 1"
"PF11741","AMIN domain"
"PF11744","Aluminium activated malate transporter"
"PF11746","Protein of unknown function (DUF3303)"
"PF11747","Killing trait"
"PF11751","Protein of unknown function (DUF3308)"
"PF11752","Protein of unknown function (DUF3309)"
"PF11754","Velvet factor"
"PF11759","Keratin-associated matrix"
"PF11764","COMPASS (Complex proteins associated with Set1p) component N"
"PF11765","Hyphally regulated cell wall protein N-terminal"
"PF11766","Cell-wall agglutinin N-terminal ligand-sugar binding"
"PF11767","Histone lysine methyltransferase SET associated"
"PF11768","Protein of unknown function (DUF3312)"
"PF11769","Protein of unknown function (DUF3313)"
"PF11774","Lsr2"
"PF11776","Domain of unknown function (DUF3315)"
"PF11778","Septation initiation"
"PF11779","Protein of unknown function (DUF3317)"
"PF11781","RNA polymerase I-specific transcription initiation factor Rrn7"
"PF11785","Aft1 osmotic stress response (OSM) domain"
"PF11786","Aft1 HRA domain"
"PF11787","Aft1 HRR domain"
"PF11788","39S mitochondrial ribosomal protein L46"
"PF11789","Zinc-finger of the MIZ type in Nse subunit"
"PF11790","Glycosyl hydrolase catalytic core"
"PF11792","Baculoviridae late expression factor 5 C-terminal domain"
"PF11793","FANCL C-terminal domain"
"PF11794","4-hydroxyphenylacetate 3-hydroxylase N terminal"
"PF11796","Protein of unknown function N-terminus (DUF3323)"
"PF11798","IMS family HHH motif"
"PF11799","impB/mucB/samB family C-terminal domain"
"PF11800","Replication protein C C-terminal region"
"PF11801","Tom37 C-terminal domain"
"PF11802","Centromere-associated protein K"
"PF11803","UDP-glucuronate decarboxylase N-terminal"
"PF11807","Domain of unknown function (DUF3328)"
"PF11815","Domain of unknown function (DUF3336)"
"PF11816","Domain of unknown function (DUF3337)"
"PF11817","Foie gras liver health family 1"
"PF11822","Domain of unknown function (DUF3342)"
"PF11831","pre-mRNA splicing factor component"
"PF11836","Protein of unknown function (DUF3356)"
"PF11838","ERAP1-like C-terminal domain"
"PF11841","Domain of unknown function (DUF3361)"
"PF11843","Protein of unknown function (DUF3363)"
"PF11852","Domain of unknown function (DUF3372)"
"PF11860","Protein of unknown function (DUF3380)"
"PF11861","Domain of unknown function (DUF3381)"
"PF11864","Domain of unknown function (DUF3384)"
"PF11865","Domain of unknown function (DUF3385)"
"PF11875","Domain of unknown function (DUF3395)"
"PF11882","Domain of unknown function (DUF3402)"
"PF11885","Protein of unknown function (DUF3405)"
"PF11894","Protein of unknown function (DUF3414)"
"PF11895","Domain of unknown function (DUF3415)"
"PF11899","Protein of unknown function (DUF3419)"
"PF11901","Protein of unknown function (DUF3421)"
"PF11904","GPCR-chaperone"
"PF11905","Domain of unknown function (DUF3425)"
"PF11911","Protein of unknown function (DUF3429)"
"PF11912","Protein of unknown function (DUF3430)"
"PF11913","Protein of unknown function (DUF3431)"
"PF11915","Protein of unknown function (DUF3433)"
"PF11916","Vacuolar protein 14 C-terminal Fig4p binding"
"PF11917","Protein of unknown function (DUF3435)"
"PF11919","Domain of unknown function (DUF3437)"
"PF11923","Domain of unknown function (DUF3441)"
"PF11927","Protein of unknown function (DUF3445)"
"PF11931","Domain of unknown function (DUF3449)"
"PF11932","Protein of unknown function (DUF3450)"
"PF11934","Domain of unknown function (DUF3452)"
"PF11935","Domain of unknown function (DUF3453)"
"PF11937","Protein of unknown function (DUF3455)"
"PF11938","TLR4 regulator and MIR-interacting MSAP"
"PF11940","Domain of unknown function (DUF3458)"
"PF11941","Domain of unknown function (DUF3459)"
"PF11942","Spt5 transcription elongation factor, acidic N-terminal"
"PF11946","Domain of unknown function (DUF3463)"
"PF11951","Fungal specific transcription factor domain"
"PF11954","Domain of unknown function (DUF3471)"
"PF11955","Plant organelle RNA recognition domain"
"PF11956","Ankyrin-G binding motif of KCNQ2-3"
"PF11957","THO complex subunit 1 transcription elongation factor"
"PF11958","Domain of unknown function (DUF3472)"
"PF11960","Domain of unknown function (DUF3474)"
"PF11968","Putative methyltransferase (DUF3321)"
"PF11969","Scavenger mRNA decapping enzyme C-term binding"
"PF11970","G protein-coupled glucose receptor regulating Gpa2 C-term"
"PF11971","CAMSAP CH domain"
"PF11974","Alpha-2-macroglobulin MG1 domain"
"PF11975","Family 4 glycosyl hydrolase C-terminal domain"
"PF11976","Ubiquitin-2 like Rad60 SUMO-like"
"PF11987","Translation-initiation factor 2"
"PF11988","Retrograde transport protein Dsl1 N terminal"
"PF11989","Retrograde transport protein Dsl1 C terminal"
"PF11991","Tryptophan dimethylallyltransferase"
"PF11997","Domain of unknown function (DUF3492)"
"PF11999","Protein of unknown function (DUF3494)"
"PF12002","MgsA AAA+ ATPase C terminal"
"PF12006","Protein of unknown function (DUF3500)"
"PF12008","Type I restriction and modification enzyme - subunit R C terminal"
"PF12009","Telomerase ribonucleoprotein complex - RNA binding domain"
"PF12012","Domain of unknown function (DUF3504)"
"PF12013","Protein of unknown function (DUF3505)"
"PF12014","Domain of unknown function (DUF3506)"
"PF12015","Domain of unknown function (DUF3507)"
"PF12018","Domain of unknown function (DUF3508)"
"PF12022","Domain of unknown function (DUF3510)"
"PF12024","Domain of unknown function (DUF3512)"
"PF12026","Domain of unknown function (DUF3513)"
"PF12030","Domain of unknown function (DUF3517)"
"PF12036","Protein of unknown function (DUF3522)"
"PF12044","Putative peptidase family"
"PF12047","Cytosine specific DNA methyltransferase replication foci domain"
"PF12051","Protein of unknown function (DUF3533)"
"PF12053","Domain of unknown function (DUF3534)"
"PF12054","Domain of unknown function (DUF3535)"
"PF12063","Domain of unknown function (DUF3543)"
"PF12066","Domain of unknown function (DUF3546)"
"PF12068","Domain of unknown function (DUF3548)"
"PF12070","Protein of unknown function (DUF3550/UPF0682)"
"PF12072","Domain of unknown function (DUF3552)"
"PF12074","Domain of unknown function (DUF3554)"
"PF12090","Spt20 family"
"PF12098","Protein of unknown function (DUF3574)"
"PF12101","Protein of unknown function (DUF3577)"
"PF12106","Colicin C terminal ribonuclease domain"
"PF12108","Splicing factor SF3a60 binding domain"
"PF12110","Nuclear protein 96"
"PF12118","SprA-related family"
"PF12128","Protein of unknown function (DUF3584)"
"PF12130","Protein of unknown function (DUF3585)"
"PF12134","PRP8 domain IV core"
"PF12138","Spherulation-specific family 4"
"PF12141","Protein of unknown function (DUF3589)"
"PF12145","Eukaryotic Mediator 12 subunit domain"
"PF12146","Putative lysophospholipase"
"PF12147","Putative methyltransferase"
"PF12148","Protein of unknown function (DUF3590)"
"PF12152","Eukaryotic translation initiation factor 4G1"
"PF12153","LPS binding domain of CAP18 (C terminal)"
"PF12157","Protein of unknown function (DUF3591)"
"PF12158","Protein of unknown function (DUF3592)"
"PF12161","HsdM N-terminal domain"
"PF12169","DNA polymerase III subunits gamma and tau domain III"
"PF12171","Zinc-finger double-stranded RNA-binding"
"PF12187","Viral/Archaeal nuclease"
"PF12191","Tumour necrosis factor receptor stn_TNFRSF12A_TNFR domain"
"PF12192","Fungal calcium binding protein"
"PF12194","Protein kinase Fus3-binding"
"PF12200","Domain of unknown function (DUF3597)"
"PF12204","Domain of unknown function (DUF3598)"
"PF12209","Leucine permease transcriptional regulator helical domain"
"PF12210","Hepatocyte growth factor-regulated tyrosine kinase substrate"
"PF12213","DNA polymerases epsilon N terminal"
"PF12214","Cell cycle regulated microtubule associated protein"
"PF12215","beta-Glucocerebrosidase 2 N terminal"
"PF12216","Immune evasion protein"
"PF12218","N terminal extension of bacteriophage endosialidase"
"PF12220","U1 small nuclear ribonucleoprotein of 70kDa MW N terminal"
"PF12222","Peptide N-acetyl-beta-D-glucosaminyl asparaginase amidase A"
"PF12223","Protein of unknown function (DUF3602)"
"PF12224","Putative amidoligase enzyme"
"PF12228","Protein of unknown function (DUF3604)"
"PF12230","Pre-mRNA splicing factor PRP21 like protein"
"PF12231","Rap1-interacting factor 1 N terminal"
"PF12234","RAVE protein 1 C terminal"
"PF12236","Bacteriophage head to tail connecting protein"
"PF12237","Phosphorylated CTD interacting factor 1 WW domain"
"PF12238","Merozoite surface antigen 2c"
"PF12239","Protein of unknown function (DUF3605)"
"PF12240","Angiomotin C terminal"
"PF12242","NAD(P)H binding domain of trans-2-enoyl-CoA reductase"
"PF12243","CTD kinase subunit gamma CTK3"
"PF12246","Temperature dependent protein affecting M2 dsRNA replication"
"PF12247","Temperature dependent protein affecting M2 dsRNA replication"
"PF12248","Farnesoic acid 0-methyl transferase"
"PF12251","snRNA-activating protein of 50kDa MW C terminal"
